Z  	N  	halflife           	decayMode
0	1	610.98	B-      
1	0	infinity                 	        
1	1	infinity                 	        
1	2	388800000	B-      
1	3	                         	N       
1	4	7.995E-023	2N      
1	5	2.848E-022	N       
1	6	9.152E-015	2N?     
2	1	infinity                 	        
2	2	infinity                 	        
2	3	7.595E-022	A       
2	3	7.595E-022	N       
2	4	0.801	B-      
2	5	3.038E-021	N       
2	6	0.119	B-      
2	6	0.119	BN      
2	7	                         	N       
2	8	1.519E-021	N       
3	0	                         	P       
3	1	7.557E-023	P       
3	2	3.038E-022	P       
3	2	3.038E-022	A       
3	3	infinity                 	        
3	4	infinity                 	        
3	5	0.84	B-      
3	5	0.84	BA      
3	6	0.178	B-      
3	6	0.178	BN      
3	7	                         	N       
3	8	0.00875	BN      
3	8	0.00875	B2N     
3	8	0.00875	BNA     
3	8	0.00875	B-      
3	9	0.00000001	N       
3	10	                         	        
4	1	                         	P       
4	2	4.953E-021	P       
4	2	4.953E-021	A       
4	3	4599936	EC      
4	4	8.181E-017	A       
4	5	infinity                 	        
4	6	43770000000000	B-      
4	7	13.81	B-      
4	7	13.81	BA      
4	8	0.0215	B-      
4	8	0.0215	BN      
4	9	2.7E-021	N       
4	10	0.00435	B-      
4	10	0.00435	BN      
4	10	0.00435	B2N     
4	11	0.0000002	N       
4	12	0.0000002	2N      
5	1	                         	2P      
5	2	3.255E-022	A       
5	2	3.255E-022	P       
5	3	0.77	EC      
5	3	0.77	EA      
5	4	8.439E-019	P       
5	4	8.439E-019	2A      
5	5	infinity                 	        
5	6	infinity                 	        
5	7	0.0202	B3A     
5	7	0.0202	B-      
5	8	0.0173	B-      
5	9	0.0125	B-      
5	10	0.00993	B-      
5	10	0.00993	BN      
5	10	0.00993	B2N     
5	11	1.9E-010	N       
5	12	0.00508	B3N     
5	12	0.00508	B4N     
5	12	0.00508	B-      
5	12	0.00508	BN      
5	12	0.00508	B2N     
5	13	0.000000026	N       
5	14	0.00292	B-      
5	14	0.00292	BN      
5	14	0.00292	B2N     
5	15	                         	        
5	16	                         	        
6	2	1.981E-021	P       
6	2	1.981E-021	A       
6	3	0.127	EP      
6	3	0.127	EA      
6	3	0.127	EC      
6	4	19.308	EC      
6	5	1220.04	EC      
6	6	infinity                 	        
6	7	infinity                 	        
6	8	179900000000	B-      
6	9	2.449	B-      
6	10	0.747	B-      
6	10	0.747	BN      
6	11	0.193	BN      
6	11	0.193	B-      
6	12	0.092	B-      
6	12	0.092	BN      
6	13	0.049	B-      
6	13	0.049	BN      
6	14	0.014	B-      
6	14	0.014	BN      
6	15	0.00000003	N       
6	16	0.0061	B2N     
6	16	0.0061	B-      
6	16	0.0061	BN      
6	17	                         	        
7	3	                         	P       
7	4	5.49E-022	P       
7	5	0.011	EC      
7	6	597.9	EC      
7	7	infinity                 	        
7	8	infinity                 	        
7	9	7.13	B-      
7	9	7.13	BA      
7	10	4.173	BN      
7	10	4.173	B-      
7	11	0.62	B-      
7	11	0.62	BA      
7	11	0.62	BN      
7	12	0.336	B-      
7	12	0.336	BN      
7	13	0.136	B-      
7	13	0.136	BN      
7	14	0.083	B-      
7	14	0.083	BN      
7	15	0.02	BN      
7	15	0.02	B2N     
7	15	0.02	B-      
7	16	0.0145	B-      
7	16	0.0145	BN      
7	16	0.0145	B2N     
7	17	0.000000052	N       
7	18	                         	        
8	4	1.139E-021	P       
8	5	0.00858	EC      
8	5	0.00858	EP      
8	6	70.62	EC      
8	7	122.24	EC      
8	8	infinity                 	        
8	9	infinity                 	        
8	10	infinity                 	        
8	11	26.88	B-      
8	12	13.51	B-      
8	13	3.42	B-      
8	14	2.25	B-      
8	14	2.25	BN      
8	15	0.097	BN      
8	15	0.097	B-      
8	16	0.065	B-      
8	16	0.065	BN      
8	17	                         	        
8	18	0.00000004	N       
8	19	0.00000026	N       
8	20	0.0000001	N       
9	5	                         	P       
9	6	4.557E-022	P       
9	7	1.139E-020	P       
9	8	64.49	EC      
9	9	6586.2	EC      
9	10	infinity                 	        
9	11	11.07	B-      
9	12	4.158	B-      
9	13	4.23	B-      
9	13	4.23	BN      
9	14	2.23	B-      
9	15	0.39	B-      
9	15	0.39	BN      
9	16	0.08	BN      
9	16	0.08	B-      
9	17	0.0097	B-      
9	17	0.0097	BN      
9	18	0.005	B-      
9	18	0.005	BN      
9	19	0.00000004	        
9	20	0.0025	B-      
9	20	0.0025	BN      
9	21	                         	N       
9	22	0.00000025	BN      
9	22	0.00000025	B-      
10	6	9E-021	2P      
10	7	0.109	EC      
10	7	0.109	EP      
10	7	0.109	EA      
10	8	1.667	EC      
10	9	17.22	EC      
10	10	infinity                 	        
10	11	infinity                 	        
10	12	infinity                 	        
10	13	37.24	B-      
10	14	202.8	B-      
10	15	0.602	B-      
10	16	0.197	B-      
10	16	0.197	BN      
10	17	0.0315	B-      
10	17	0.0315	BN      
10	18	0.0189	B-      
10	18	0.0189	BN      
10	18	0.0189	B-      
10	19	0.0148	B2N     
10	19	0.0148	B-      
10	19	0.0148	BN      
10	20	0.0073	B-      
10	20	0.0073	BN      
10	20	0.0073	B-      
10	21	0.0034	B-      
10	21	0.0034	BN      
10	22	0.0035	B-      
10	22	0.0035	BN      
10	23	0.00000018	N       
10	24	0.00000006	BN      
10	24	0.00000006	B-      
11	7	1.3E-021	P       
11	8	0.00000004	P       
11	9	0.448	EC      
11	9	0.448	EA      
11	10	22.49	EC      
11	11	82130000	EC      
11	12	infinity                 	        
11	13	53989.2	B-      
11	13	0.0202	IT      
11	13	0.0202	B-      
11	14	59.1	B-      
11	15	1.0713	B-      
11	16	0.301	B-      
11	16	0.301	BN      
11	17	0.0305	B-      
11	17	0.0305	BN      
11	18	0.0449	B-      
11	18	0.0449	BN      
11	19	0.048	BA      
11	19	0.048	B-      
11	19	0.048	BN      
11	19	0.048	B2N     
11	20	0.017	B-      
11	20	0.017	BN      
11	20	0.017	B2N     
11	20	0.017	B3N     
11	21	0.0132	B-      
11	21	0.0132	BN      
11	21	0.0132	B2N     
11	22	0.008	B-      
11	22	0.008	BN      
11	22	0.008	B2N     
11	23	0.0055	B-      
11	23	0.0055	B2N     
11	23	0.0055	BN      
11	24	0.0015	B-      
11	24	0.0015	BN      
11	25	0.00000018	N       
11	26	0.00000006	BN      
11	26	0.00000006	B-      
12	7	4E-012	2P      
12	8	0.0908	EC      
12	8	0.0908	EP      
12	9	0.122	EC      
12	9	0.122	EP      
12	9	0.122	EA      
12	10	3.876	EC      
12	11	11.317	EC      
12	12	infinity                 	        
12	13	infinity                 	        
12	14	infinity                 	        
12	15	567.48	B-      
12	16	75294	B-      
12	17	1.3	B-      
12	18	0.335	B-      
12	19	0.232	B-      
12	19	0.232	BN      
12	20	0.086	B-      
12	20	0.086	BN      
12	21	0.0905	B-      
12	21	0.0905	BN      
12	22	0.02	B-      
12	22	0.02	BN      
12	23	0.07	BN      
12	23	0.07	B-      
12	24	0.0039	B-      
12	24	0.0039	BN      
12	25	0.00000026	B-      
12	25	0.00000026	BN      
12	26	0.00000026	B-      
12	26	0.00000026	BN      
12	27	0.00000018	N       
12	28	0.00000017	B-      
12	28	0.00000017	BN      
13	8	0.000000035	P       
13	9	0.0911	EC      
13	9	0.0911	EP      
13	9	0.0911	E2P     
13	9	0.0911	EA      
13	10	0.446	EC      
13	10	0.446	EP      
13	11	2.053	EC      
13	11	2.053	EP      
13	11	2.053	EA      
13	11	0.13	EC      
13	11	0.13	EA      
13	11	0.13	IT      
13	12	7.183	EC      
13	13	22630000000000	EC      
13	13	6.346	EC      
13	14	infinity                 	        
13	15	134.484	B-      
13	16	393.6	B-      
13	17	3.62	B-      
13	18	0.644	B-      
13	19	0.033	BN      
13	19	0.033	B-      
13	20	0.0417	B-      
13	20	0.0417	BN      
13	21	0.042	B-      
13	21	0.042	BN      
13	22	0.0372	B-      
13	22	0.0372	BN      
13	23	0.09	B-      
13	23	0.09	BN      
13	24	0.0107	B-      
13	25	0.0076	BN      
13	25	0.0076	B-      
13	26	0.0076	B-      
13	26	0.0076	BN      
13	27	0.00000026	B-      
13	27	0.00000026	BN      
13	28	0.00000026	B-      
13	29	0.00000017	B-      
13	29	0.00000017	BN      
13	30	0.00000017	B-      
13	30	0.00000017	BN      
14	8	0.029	EC      
14	8	0.029	EP      
14	9	0.0423	EC      
14	9	0.0423	EP      
14	9	0.0423	E2P     
14	10	0.141	EC      
14	10	0.141	EP      
14	11	0.22	EC      
14	11	0.22	EP      
14	12	2.229	EC      
14	13	4.15	EC      
14	14	infinity                 	        
14	15	infinity                 	        
14	16	infinity                 	        
14	17	9438	B-      
14	18	4828000000	B-      
14	19	6.11	B-      
14	20	2.77	B-      
14	21	0.78	B-      
14	21	0.78	BN      
14	22	0.45	B-      
14	22	0.45	BN      
14	23	0.09	B-      
14	23	0.09	BN      
14	24	0.000001	B-      
14	24	0.000001	BN      
14	25	0.0475	B-      
14	25	0.0475	BN      
14	26	0.033	B-      
14	26	0.033	BN      
14	27	0.02	B-      
14	27	0.02	BN      
14	28	0.0125	B-      
14	28	0.0125	BN      
14	29	0.00000006	B-      
14	29	0.00000006	BN      
14	30	0.00000036	B-      
14	30	0.00000036	BN      
14	31	                         	        
15	9	                         	EC      
15	9	                         	P       
15	10	0.00000003	P       
15	11	0.0437	EP      
15	11	0.0437	EC      
15	12	0.26	EC      
15	12	0.26	EP      
15	13	0.27	EC      
15	13	0.27	EP      
15	13	0.27	EA      
15	14	4.142	EC      
15	15	149.88	EC      
15	16	infinity                 	        
15	17	1232236.8	B-      
15	18	2190240	B-      
15	19	12.43	B-      
15	20	47.3	B-      
15	21	5.6	B-      
15	22	2.31	B-      
15	23	0.64	B-      
15	23	0.64	BN      
15	24	0.28	B-      
15	24	0.28	BN      
15	25	0.125	B-      
15	25	0.125	BN      
15	26	0.1	B-      
15	26	0.1	BN      
15	27	0.0485	B-      
15	27	0.0485	BN      
15	28	0.0365	B-      
15	28	0.0365	BN      
15	29	0.0185	B-      
15	29	0.0185	BN      
15	30	0.0000002	B-      
15	31	0.0000002	B-      
15	32	                         	        
16	10	0.000000079	2P      
16	11	0.0155	EC      
16	11	0.0155	EP      
16	11	0.0155	E2P     
16	12	0.125	EC      
16	12	0.125	EP      
16	13	0.187	EC      
16	13	0.187	EP      
16	14	1.178	EC      
16	15	2.572	EC      
16	16	infinity                 	        
16	17	infinity                 	        
16	18	infinity                 	        
16	19	7548768	B-      
16	20	infinity                 	        
16	21	303	B-      
16	22	10218	B-      
16	23	11.5	B-      
16	24	8.8	B-      
16	25	1.99	B-      
16	25	1.99	BN      
16	26	1.03	B-      
16	27	0.28	B-      
16	27	0.28	BN      
16	28	0.1	B-      
16	28	0.1	BN      
16	29	0.068	B-      
16	29	0.068	BN      
16	30	0.05	B-      
16	31	                         	        
16	32	0.0000002	B-      
16	33	0.0000002	N       
17	11	                         	P       
17	12	0.00000002	P       
17	13	0.00000003	P       
17	14	0.15	EC      
17	14	0.15	EP      
17	15	0.298	EC      
17	15	0.298	EA      
17	15	0.298	EP      
17	16	2.511	EC      
17	17	1.526	EC      
17	17	1920	IT      
17	17	1920	EC      
17	18	infinity                 	        
17	19	9499000000000	B-      
17	19	9499000000000	EC      
17	20	infinity                 	        
17	21	2234.4	B-      
17	21	0.715	IT      
17	22	3372	B-      
17	23	81	B-      
17	24	38.4	B-      
17	25	6.8	B-      
17	26	3.13	B-      
17	27	0.56	B-      
17	27	0.56	BN      
17	28	0.413	B-      
17	28	0.413	BN      
17	29	0.232	B-      
17	29	0.232	BN      
17	30	0.101	B-      
17	30	0.101	BN      
17	31	0.0000002	B-      
17	32	0.00000017	B-      
17	33	0.00000062	B-      
17	33	0.00000062	BN      
17	34	0.0000002	B-      
18	12	0.00000002	P       
18	13	0.0144	EC      
18	13	0.0144	EP      
18	13	0.0144	E2P     
18	14	0.101	EC      
18	14	0.101	EP      
18	15	0.173	EP      
18	15	0.173	EC      
18	16	0.845	EC      
18	17	1.776	EC      
18	18	infinity                 	        
18	19	3027456	EC      
18	20	infinity                 	        
18	21	8489000000	B-      
18	22	infinity                 	        
18	23	6576.6	B-      
18	24	1038200000	B-      
18	25	322.2	B-      
18	26	712.2	B-      
18	27	21.48	B-      
18	28	8.4	B-      
18	29	1.23	B-      
18	29	1.23	BN      
18	30	0.475	B-      
18	31	0.17	B-      
18	31	0.17	BN      
18	32	0.085	B-      
18	32	0.085	BN      
18	33	0.0000002	B-      
18	34	0.00000062	B-      
18	35	0.00000062	B-      
18	35	0.00000062	BN      
18	35	0.00000062	B2N     
19	13	                         	P       
19	14	0.000000025	P       
19	15	0.000000025	P       
19	16	0.178	EC      
19	16	0.178	EP      
19	17	0.342	EP      
19	17	0.342	EA      
19	17	0.342	EC      
19	18	1.226	EC      
19	19	458.16	EC      
19	19	0.924	EC      
19	19	0.924	IT      
19	20	infinity                 	        
19	21	39380000000000000	B-      
19	21	39380000000000000	EC      
19	22	infinity                 	        
19	23	44355.6	B-      
19	24	80280	B-      
19	25	1327.8	B-      
19	26	1068.6	B-      
19	27	105	B-      
19	28	17.5	B-      
19	29	6.8	B-      
19	29	6.8	BN      
19	30	1.26	B-      
19	30	1.26	BN      
19	31	0.472	BN      
19	31	0.472	B-      
19	32	0.365	B-      
19	32	0.365	BN      
19	33	0.118	B-      
19	33	0.118	BN      
19	34	0.03	B-      
19	34	0.03	BN      
19	34	0.03	B2N     
19	35	0.01	B-      
19	35	0.01	BN      
19	36	0.00000036	BN      
19	36	0.00000036	B-      
19	37	0.00000062	B-      
19	37	0.00000062	BN      
19	37	0.00000062	B2N     
20	14	0.000000035	P       
20	15	0.0257	EC      
20	15	0.0257	EP      
20	15	0.0257	E2P     
20	16	0.102	EC      
20	16	0.102	EP      
20	17	0.181	EC      
20	17	0.181	EP      
20	18	0.44	EC      
20	19	0.86	EC      
20	20	94670000000000000000000000000	2EC     
20	21	3219000000000	EC      
20	22	infinity                 	        
20	23	infinity                 	        
20	24	infinity                 	        
20	25	14050000	B-      
20	26	88360000000000000000000	2B-     
20	27	391910.4	B-      
20	28	1830000000000000000000000000000	2B-     
20	29	523.08	B-      
20	30	13.9	B-      
20	31	10	B-      
20	31	10	BN      
20	32	4.6	B-      
20	32	4.6	BN      
20	33	0.09	B-      
20	33	0.09	BN      
20	34	0.086	B-      
20	35	0.022	B-      
20	35	0.022	BN      
20	36	0.011	B-      
20	36	0.011	BN      
20	37	0.00000062	B-      
20	37	0.00000062	BN      
20	37	0.00000062	B2N     
20	38	0.00000062	B-      
20	38	0.00000062	BN      
21	15	                         	P       
21	16	                         	P       
21	17	                         	P       
21	18	0.0000003	P       
21	19	0.182	EC      
21	19	0.182	EP      
21	19	0.182	EA      
21	20	0.596	EC      
21	21	0.681	EC      
21	21	61.7	EC      
21	22	14007.6	EC      
21	23	14292	EC      
21	23	210996	IT      
21	23	210996	EC      
21	24	infinity                 	        
21	24	0.318	IT      
21	25	7239456	B-      
21	25	18.75	IT      
21	26	289370.88	B-      
21	27	157212	B-      
21	28	3430.8	B-      
21	29	102.5	B-      
21	29	0.35	B-      
21	29	0.35	IT      
21	30	12.4	B-      
21	31	8.2	B-      
21	32	2.4	B-      
21	32	2.4	BN      
21	33	0.526	B-      
21	34	0.096	B-      
21	34	0.096	BN      
21	35	0.026	B-      
21	35	0.026	BN      
21	35	0.075	B-      
21	35	0.075	BN      
21	36	0.022	B-      
21	36	0.022	BN      
21	37	0.012	B-      
21	37	0.012	BN      
21	38	0.00000036	B-      
21	38	0.00000036	BN      
21	39	0.00000036	B-      
21	39	0.00000036	BN      
21	40	0.00000036	BN      
21	40	0.00000036	B-      
22	16	                         	        
22	17	0.031	EC      
22	17	0.031	EP      
22	18	0.0524	EC      
22	18	0.0524	EP      
22	19	0.0804	EC      
22	19	0.0804	EP      
22	20	0.199	EC      
22	21	0.509	EC      
22	22	1893000000	EC      
22	23	11088	EC      
22	24	infinity                 	        
22	25	infinity                 	        
22	26	infinity                 	        
22	27	infinity                 	        
22	28	infinity                 	        
22	29	345.6	B-      
22	30	102	B-      
22	31	32.7	B-      
22	32	1.5	B-      
22	33	1.3	B-      
22	34	0.2	B-      
22	34	0.2	BN      
22	35	0.098	B-      
22	35	0.098	BN      
22	36	0.057	B-      
22	36	0.057	BN      
22	37	0.0275	B-      
22	38	0.0224	B-      
22	39	0.015	B-      
22	39	0.015	BN      
22	40	0.00000062	B-      
22	40	0.00000062	BN      
22	41	0.00000036	B-      
22	41	0.00000036	BN      
23	17	                         	P       
23	18	                         	P       
23	19	0.000000055	P       
23	20	0.0793	EC      
23	21	0.111	EC      
23	21	0.111	EA      
23	21	0.15	EC      
23	22	0.547	EC      
23	23	0.423	EC      
23	23	0.00102	IT      
23	24	1956	EC      
23	25	1380110.4	EC      
23	26	28510000	EC      
23	27	6627000000000000000000000	EC      
23	27	6627000000000000000000000	B-      
23	28	infinity                 	        
23	29	224.58	B-      
23	30	92.58	B-      
23	31	49.8	B-      
23	32	6.54	B-      
23	33	0.216	B-      
23	33	0.216	BN      
23	34	0.32	B-      
23	34	0.32	BN      
23	35	0.191	B-      
23	35	0.191	BN      
23	36	0.097	B-      
23	36	0.097	BN      
23	37	0.068	B-      
23	37	0.04	B-      
23	37	0.04	BN      
23	37	0.04	B-      
23	37	0.04	BN      
23	38	0.0526	B-      
23	38	0.0526	BN      
23	39	0.0335	B-      
23	39	0.0335	BN      
23	40	0.0192	B-      
23	40	0.0192	BN      
23	41	0.019	B-      
23	42	0.00000036	B-      
23	42	0.00000036	BN      
23	43	0.00000036	B-      
23	43	0.00000036	BN      
24	18	0.0133	EC      
24	18	0.0133	EP      
24	19	0.0206	E3P     
24	19	0.0206	EC      
24	19	0.0206	EP      
24	19	0.0206	E2P     
24	20	0.0428	EC      
24	20	0.0428	EP      
24	21	0.0609	EC      
24	21	0.0609	EP      
24	22	0.26	EC      
24	23	0.5	EC      
24	24	77616	EC      
24	25	2538	EC      
24	26	41020000000000000000000000	2EC     
24	27	2393496	EC      
24	28	infinity                 	        
24	29	infinity                 	        
24	30	infinity                 	        
24	31	209.82	B-      
24	32	356.4	B-      
24	33	21.1	B-      
24	34	7	B-      
24	35	1.05	B-      
24	36	0.49	B-      
24	37	0.243	B-      
24	37	0.243	BN      
24	38	0.206	B-      
24	38	0.206	BN      
24	39	0.129	B-      
24	39	0.129	BN      
24	40	0.042	B-      
24	41	0.028	B-      
24	42	0.023	B-      
24	43	                         	B-      
24	44	0.00000036	B-      
24	44	0.00000036	BN      
25	19	0.000000105	EC      
25	19	0.000000105	P       
25	20	                         	        
25	21	0.0362	EC      
25	21	0.0362	EP      
25	22	0.088	EC      
25	22	0.088	EP      
25	23	0.158	EC      
25	23	0.158	EP      
25	23	0.158	EA      
25	24	0.382	EC      
25	25	0.283	EC      
25	25	105	EC      
25	26	2772	EC      
25	27	483062.4	EC      
25	27	1266	EC      
25	27	1266	IT      
25	28	118000000000000	EC      
25	29	26970000	EC      
25	29	26970000	B-      
25	30	infinity                 	        
25	31	9284.04	B-      
25	32	85.4	B-      
25	33	3	B-      
25	33	65.4	B-      
25	33	65.4	IT      
25	34	4.59	B-      
25	35	0.28	B-      
25	35	1.77	B-      
25	35	1.77	IT      
25	36	0.67	B-      
25	37	0.671	BN      
25	37	0.671	B-      
25	37	0.092	B-      
25	37	0.092	BN      
25	38	0.275	B-      
25	38	0.275	BN      
25	39	0.09	B-      
25	39	0.09	BN      
25	39	0.0005	IT      
25	40	0.084	B-      
25	41	0.065	B-      
25	42	0.051	BN      
25	42	0.051	B-      
25	43	0.028	B-      
25	43	0.028	BN      
25	44	0.018	B-      
25	45	0.00000036	B-      
25	45	0.00000036	BN      
25	46	0.000000637	B-      
25	46	0.000000637	BN      
25	46	0.000000637	B2N     
26	19	0.00189	EP      
26	19	0.00189	E2P     
26	19	0.00189	E3P     
26	19	0.00189	2P      
26	19	0.00189	EC      
26	20	0.013	EC      
26	20	0.013	EP      
26	21	0.0219	EC      
26	21	0.0219	EP      
26	21	0.0219	E2P     
26	22	0.0453	EC      
26	22	0.0453	EP      
26	23	0.0647	EC      
26	23	0.0647	EP      
26	24	0.155	EC      
26	24	0.155	EP      
26	25	0.305	EC      
26	26	29790	EC      
26	26	45.9	EC      
26	26	45.9	IT      
26	27	510.6	EC      
26	27	152.4	IT      
26	28	infinity                 	        
26	29	86590000	EC      
26	30	infinity                 	        
26	31	infinity                 	        
26	32	infinity                 	        
26	33	3844368	B-      
26	34	82680000000000	B-      
26	35	358.8	B-      
26	36	68	B-      
26	37	6.1	B-      
26	38	2	B-      
26	39	0.81	B-      
26	39	1.12	B-      
26	40	0.44	B-      
26	41	0.4	B-      
26	42	0.18	B-      
26	43	0.11	B-      
26	44	0.071	B-      
26	45	0.028	B-      
26	45	0.028	BN      
26	46	0.00000015	B-      
26	46	0.00000015	BN      
26	47	0.000000633	B-      
26	47	0.000000633	BN      
26	47	0.000000633	B2N     
26	48	0.000000638	B-      
26	48	0.000000638	BN      
26	48	0.000000638	B2N     
27	20	                         	        
27	21	                         	        
27	22	                         	        
27	23	0.0388	E2P     
27	23	0.0388	EC      
27	23	0.0388	EP      
27	24	0.0000002	EC      
27	25	0.115	EC      
27	26	0.24	EC      
27	26	0.247	EC      
27	26	0.247	P       
27	27	0.193	EC      
27	27	88.8	EC      
27	28	63108	EC      
27	29	6673190.4	EC      
27	30	23480000	EC      
27	31	6122304	EC      
27	31	32760	IT      
27	32	infinity                 	        
27	33	166300000	B-      
27	33	628.02	IT      
27	33	628.02	B-      
27	34	5940	B-      
27	35	90	B-      
27	35	834.6	B-      
27	35	834.6	IT      
27	36	27.4	B-      
27	37	0.3	B-      
27	38	1.16	B-      
27	39	0.2	B-      
27	40	0.425	B-      
27	41	0.199	B-      
27	41	1.6	B-      
27	42	0.229	B-      
27	43	0.108	B-      
27	43	0.5	B-      
27	44	0.08	BN      
27	44	0.08	B-      
27	45	0.0599	B-      
27	45	0.0599	BN      
27	46	0.041	B-      
27	47	0.025	B-      
27	47	0.025	BN      
27	48	0.00000015	B-      
27	49	0.000000634	B-      
27	49	0.000000634	B2N     
27	49	0.000000634	BN      
28	20	0.0021	EC      
28	20	0.0021	2P      
28	21	0.0075	EC      
28	21	0.0075	EP      
28	22	0.0185	EC      
28	22	0.0185	EP      
28	22	0.0185	E2P     
28	23	0.0238	EC      
28	23	0.0238	EP      
28	24	0.0408	EC      
28	24	0.0408	EP      
28	25	0.0552	EC      
28	25	0.0552	EP      
28	26	0.104	EC      
28	27	0.205	EC      
28	28	524880	EC      
28	29	128160	EC      
28	30	infinity                 	        
